"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/social_course_statistics/src/CourseStatistics.php:133","'@finished_sections/@course_sections Sections finished'","","",FALSE,"","",""
"modules/social_course_statistics/social_course_statistics.module:227","'@parts_finished/@parts_count parts finished'","","",FALSE,"","",""
"social_course.module:1360","About","Informazioni","",FALSE,"","",""
"social_course.permissions.yml:0","Access to view courses pages","Accesso per visualizzare le pagine dei corsi","",FALSE,"","",""
"social_course.routing.yml:0","Add course","Aggiungi un corso","",FALSE,"","",""
"modules/social_course_advanced/modules/social_course_advanced_invite/social_course_advanced_invite.info.yml:0","Adds ""Group Invitation"" feature to advanced course","","",FALSE,"","",""
"modules/social_course_basic/modules/social_course_basic_invite/social_course_basic_invite.info.yml:0","Adds ""Group Invitation"" feature to basic course","","",FALSE,"","",""
"social_course.install:157","All courses","Tutti i corsi","",FALSE,"","",""
"modules/social_course_basic/social_course_basic.module:23","Altering the visibility options could result in changes in access for content within this group and the group itself.","","",FALSE,"","",""
"templates/course-material-navigation.html.twig:22","Article","","",FALSE,"","",""
"config/install/paragraphs.paragraphs_type.attachment.yml:0","Attachment","Allegato","",FALSE,"","",""
"social_course.module:520","Author","Autore/Autrice","",FALSE,"","",""
"templates/group--course-basic--hero.html.twig:61","Cancel enrollment","Cancella l'iscrizione","",FALSE,"","",""
"src/Entity/CourseEnrollment.php:113","Changed","Modificato","",FALSE,"","",""
"config/install/image.style.content_image.yml:0","Content Image","Contenuto Immagine","",FALSE,"","",""
"social_course.module:349","Continue","Continua","",FALSE,"","",""
"config/install/core.entity_form_mode.node.course.yml:0","Course","Corso","",FALSE,"","",""
"src/Entity/CourseEnrollment.php:12","Course Enrollment","Iscrizione al corso","",FALSE,"","",""
"social_course.module:1320;1374","Course Events","Eventi del corso","",FALSE,"","",""
"social_course.module:1423","Course Leaders","Responsabili del corso","",FALSE,"","",""
"social_course.module:1316;1370","Course Topics","Argomenti del corso","",FALSE,"","",""
"config/optional/block.block.socialblue_course_add_section.yml:0","Course add section block","Aggiungi il blocco Sessioni del corso","",FALSE,"","",""
"modules/social_course_statistics/social_course_statistics.views.inc:14;15;32;33","Course enrollment","","",FALSE,"","",""
"templates/course-navigation.html.twig:59","Course finished","","",FALSE,"","",""
"templates/block--course-navigation.html.twig:30;38","Course information","Informazioni sul corso","",FALSE,"","",""
"src/Plugin/Block/CourseMaterialHeroBlock.php:13","Course material hero block","Blocco Hero dei materiali del corso","",FALSE,"","",""
"src/Plugin/Block/CourseMaterialNavigationBlock.php:20","Course material navigation block","Blocco di navigazione dei materiali del corso","",FALSE,"","",""
"config/optional/block.block.socialblue_course_material_pager.yml:0","Course material pager block","Blocco materiale del corso","",FALSE,"","",""
"social_course.module:1312","Course members","Partecipanti al corso","",FALSE,"","",""
"config/optional/block.block.socialblue_course_navigation.yml:0","Course navigation block","Blocco di navigazione del corso","",FALSE,"","",""
"social_course.module:732","Course roles","Ruoli del corso","",FALSE,"","",""
"src/Plugin/Block/CourseSectionNavigationBlock.php:21","Course section navigation block","Blocco di navigazione delle sessioni del corso","",FALSE,"","",""
"src/EventSubscriber/SocialCourseSubscriber.php:126","Course sections and other information can only be accessed after enrolling for this course.","Le sezioni del corso e altre informazioni potranno essere visibili solo dopo essersi iscritti a questo corso.","",FALSE,"","",""
"src/EventSubscriber/SocialCourseSubscriber.php:123","Course sections can only be accessed after the course starts. You can only enrol in this course before the course has started.","Le sezioni di corso saranno visibili solo dopo iniziato il corso. Puoi iscriverti a questo corso prima che il corso inizi.","",FALSE,"","",""
"modules/social_course_statistics/templates/group--course-basic--statistics.html.twig:33","Course statistics","","",FALSE,"","",""
"modules/social_course_statistics/config/optional/block.block.course_statistics_hero_block.yml:0","Course statistics hero block","","",FALSE,"","",""
"templates/node--course-section--teaser.html.twig:26;39","Course status","","",FALSE,"","",""
"templates/group--course-basic--teaser.html.twig:35","Course type","Tipologia di corso","",FALSE,"","",""
"templates/group--course-basic--teaser.html.twig:8","Course:","","",FALSE,"","",""
"social_course.links.task.yml:0","Courses","Corsi","",FALSE,"","",""
"social_course.module:394","Create New Course","Crea un Nuovo Corso","",FALSE,"","",""
"src/Plugin/Block/CourseAddSectionBlock.php:62","Create Section","Crea una Sezione","",FALSE,"","",""
"src/Entity/CourseEnrollment.php:109","Created","Creato","",FALSE,"","",""
"templates/course-navigation.html.twig:47","Current page","Pagina attuale","",FALSE,"","",""
"social_course.module:2128","Destination URL","","",FALSE,"","",""
"social_course.module:545","Drag and drop to change the order","Trascina e rilascia per modificare l'ordine","",FALSE,"","",""
"templates/node--course-section--teaser.html.twig:52;54","Edit content","Modifica contenuto","",FALSE,"","",""
"templates/group--course-basic--hero.html.twig:27;29","Edit course","","",FALSE,"","",""
"templates/group--course-basic--hero.html.twig:64","Enroll","Iscriviti","",FALSE,"","",""
"social_course.module:693","Enroll in course","Iscriviti al corso","",FALSE,"","",""
"social_course.module:1364","Enroll in course %label","Iscriviti al corso %label","",FALSE,"","",""
"social_course.module:1306","Enroll in course @label","Iscriviti al corso @label","",FALSE,"","",""
"templates/group--course-basic--hero.html.twig:59","Enrolled","Iscritti","",FALSE,"","",""
"templates/group--course-basic--hero.html.twig:71","Enrollment is closed","Iscrizioni chiuse","",FALSE,"","",""
"modules/social_course_basic/modules/social_course_basic_request/social_course_basic_request.info.yml:0","Extend Group Request feature.","","",FALSE,"","",""
"social_course.module:374","Finish course","Fine corso","",FALSE,"","",""
"social_course.module:371","Finish section","Fine della sezione","",FALSE,"","",""
"templates/node--course-section--teaser.html.twig:43","Finished","Finito","",FALSE,"","",""
"templates/block--course-material-navigation.html.twig:32","Go back","Torna indietro","",FALSE,"","",""
"templates/block--course-navigation.html.twig:23;26","Go to the course section","","",FALSE,"","",""
"social_course.module:779;980;1073","Group","","",FALSE,"","",""
"src/Entity/CourseEnrollment.php:94","Group ID","ID gruppo","",FALSE,"","",""
"config/install/paragraphs.paragraphs_type.image_text.yml:0","Image + Text","Immagine + Testo","",FALSE,"","",""
"config/install/paragraphs.paragraphs_type.images.yml:0","Images","Immagini","",FALSE,"","",""
"src/Form/CourseJoinAnonymousForm.php:81","In order to join a course, please first sign up or log in.","","",FALSE,"","",""
"templates/node--course-section--teaser.html.twig:31","In progress","In corso","",FALSE,"","",""
"templates/block--course-material-navigation.html.twig:21","In this section","In questa sessione","",FALSE,"","",""
"src/Plugin/Join/SocialCourseDirectJoin.php:69","Join","","",FALSE,"","",""
"src/Controller/CourseJoinController.php:37","Join a ""@group_title"" course","","",FALSE,"","",""
"modules/social_course_statistics/templates/group--course-basic--statistics.html.twig:77","Last active","","",FALSE,"","",""
"src/Form/CourseJoinAnonymousForm.php:120","Log in","","",FALSE,"","",""
"src/Entity/CourseEnrollment.php:104","Material ID","ID materiale","",FALSE,"","",""
"social_course.post_update.php:138","Material is @id","L'id del materiale è @id","",FALSE,"","",""
"modules/social_course_basic/modules/social_course_basic_request/src/Controller/BasicCourseRequestController.php:35","Membership has been successfully denied.","","",FALSE,"","",""
"social_course.module:418","My courses","Miei corsi","",FALSE,"","",""
"templates/block--course-navigation.html.twig:36","Navigate","Naviga","",FALSE,"","",""
"social_course.module:396","New Course","Nuovo Corso","",FALSE,"","",""
"social_course.module:1464","No events in this course","Non ci sono eventi in questo corso","",FALSE,"","",""
"social_course.module:1452;1456","No members in this course","Non ci sono utenti in questo corso","",FALSE,"","",""
"social_course.module:1448;1460","No topics in this course","Non ci sono argomenti in questo corso","",FALSE,"","",""
"social_course.module:1444","No upcoming events in this course","Non ci sono prossimi eventi in questo corso","",FALSE,"","",""
"templates/node--course-section--teaser.html.twig:19","Not started","Non iniziato","",FALSE,"","",""
"modules/social_course_statistics/templates/group--course-basic--statistics.html.twig:51","Number of participants","","",FALSE,"","",""
"config/install/core.base_field_override.node.course_video.promote.yml:0","Off","Spento","",FALSE,"","",""
"config/install/core.base_field_override.node.course_video.promote.yml:0","On","Acceso","",FALSE,"","",""
"src/Entity/CourseEnrollment.php:89","Owner","Proprietario","",FALSE,"","",""
"templates/course-material-pager.html.twig:4","Pagination","Paginazione","",FALSE,"","",""
"config/install/core.entity_form_display.node.course_article.default.yml:0","Part","Parte","",FALSE,"","",""
"config/install/core.entity_form_display.node.course_article.default.yml:0","Parts","Parti","",FALSE,"","",""
"modules/social_course_statistics/templates/group--course-basic--statistics.html.twig:72","Passing rate","","",FALSE,"","",""
"modules/social_course_statistics/templates/group--course-basic--statistics.html.twig:27","Personal progress","","",FALSE,"","",""
"social_course.module:300","Previous","Precedente","",FALSE,"","",""
"config/install/core.base_field_override.node.course_video.promote.yml:0","Promoted to front page","Promuovi in prima pagina","",FALSE,"","",""
"modules/social_course_advanced/social_course_advanced.info.yml:0","Provides advanced course type.","Fornisce una tipologia di corso avanzato.","",FALSE,"","",""
"modules/social_course_basic/social_course_basic.info.yml:0","Provides basic course type.","Fornisce una tipologia di corso base.","",FALSE,"","",""
"social_course.info.yml:0","Provides course feature.","Fornisce funzionalità del corso.","",FALSE,"","",""
"modules/social_course_statistics/social_course_statistics.info.yml:0","Provides course statistics in terms of completion rate and where users are stuck.","","",FALSE,"","",""
"social_course.install:214","Published","Pubblicato","",FALSE,"","",""
"templates/group--course-basic--teaser.html.twig:68","Read more","Per saperne di più","",FALSE,"","",""
"modules/social_course_statistics/social_course_statistics.views.inc:17","Reference to course enrollment of a group content.","","",FALSE,"","",""
"modules/social_course_statistics/social_course_statistics.views.inc:35","Reference to course enrollment of a section.","","",FALSE,"","",""
"config/optional/block.block.socialblue_related_courses.yml:0","Related","Collegato","",FALSE,"","",""
"src/Plugin/Block/CourseRelatedCourses.php:12","Related courses","Corsi collegati","",FALSE,"","",""
"social_course.module:627","Save","Salva","",FALSE,"","",""
"templates/course-navigation.html.twig:6","Section","Sessione","",FALSE,"","",""
"src/Entity/CourseEnrollment.php:99","Section ID","ID Sessione","",FALSE,"","",""
"modules/social_course_statistics/templates/group--course-basic--statistics.html.twig:88","Sections","Sessioni","",FALSE,"","",""
"modules/social_course_statistics/social_course_statistics.module:188;195","See section progress","","",FALSE,"","",""
"social_course.module:731","Select a member","Seleziona un utente","",FALSE,"","",""
"social_course.module:607","Set starting date and time","","",FALSE,"","",""
"src/Form/CourseJoinAnonymousForm.php:103","Sign up","","",FALSE,"","",""
"modules/social_course_statistics/social_course_statistics.info.yml:0","Social","Social","",FALSE,"","",""
"modules/social_course_advanced/modules/social_course_advanced_invite/social_course_advanced_invite.info.yml:0","Social Advanced Course Invite","","",FALSE,"","",""
"modules/social_course_advanced/modules/social_course_advanced_request/social_course_advanced_request.info.yml:0","Social Advanced Course Request","","",FALSE,"","",""
"modules/social_course_basic/modules/social_course_basic_invite/social_course_basic_invite.info.yml:0","Social Basic Course Invite","","",FALSE,"","",""
